tahun,bulan,jumlah_kebakaran,benda_yang_terbakar_bangunan_perumahan,benda_yang_terbakar_pasar,benda_yang_terbakar_bangunan_industri,benda_yang_terbakar_shoping_centre,benda_yang_terbakar_bangunan_umum,benda_yang_terbakar_lain-lain,penyebab_kebakaran_kompor,penyebab_kebakaran_lampu_tempel,penyebab_kebakaran_listrik,penyebab_kebakaran_rokok,penyebab_kebakaran_lain_lain,jumlah_yang_terbakar_bangunan_perumahan,jumlah_yang_terbakar_kios,jumlah_yang_terbakar_bangunan_industri,jumlah_yang_terbakar_shoping_centre,jumlah_yang_terbakar_lain-lain,korban_mati,korban_luka,mobil_yang_bertugas,penggunaan_air_pdam_m3,penggunaan_air_lain-lain_m3,areal_kebakaran_m2,bangunan_terselamatkan,taksiran_jumlah_kerugian_rp
2014,JANUARI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,FEBRUARI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,MARET,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,APRIL,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,4,8,-,60,2,60.000.000
2014,MEI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,JUNI,1,1,-,1,-,-,-,-,-,1,-,-,6,-,1,-,-,-,-,5,8,-,600,-,500.000.000
2014,JULI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,AGUSTUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,SEPTEMBER,8,3,1,2,-,1,1,-,-,6,-,2,2,-,1,-,5,-,-,25,76,280,3031,4,2.645.000.000
2014,OKTOBER,8,3,-,1,-,3,1,1,-,-,-,7,4,-,1,-,1,-,-,21,60,160,30815,10,9.435.000.000
2014,NOPEMBER,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,2,-,-,10,2,10.000.000
2014,DESEMBER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
