id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3410914,"Belanja Cetak",440400000,"Lelang Sederhana",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Penyediaan Barang Cetakan dan Penggandaan",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Penyediaan Barang Cetakan dan Penggandaan",APBD," 440400000",1.02.1.02.03.01.11.5.2.2.06.01,"Lelang Sederhana",01-03-2015,31-03-2015,01-03-2015,31-12-2016
4200538,"Belanja Modal Pengadaan Anjungan Informasi Touchscreen",98400000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Modal Pengadaan Anjungan Informasi Touchscreen",APBD," 98400000",1.02.1.02.03.02.12.5.2.3.27.05,E-Purchasing,01-03-2015,31-03-2015,01-03-2015,30-09-2015,"Belanja Modal Pengadaan Anjungan Informasi Touchscreen (3875527) "
4809830,"Belanja Modal pengadaan alat dapur",120000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Modal pengadaan alat dapur",APBDP," 120000000",1.02.1.02.03.01.13.5.2.3.28.05,"Pengadaan Langsung",01-11-2015,31-12-2016,03-11-2015,31-12-2016
3411775,"Belanja Sosialisasi",180000000,"Lelang Sederhana",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pembinaan Kinerja Aparatur",Barang/jasa,"Jasa Lainnya","1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Sosialisasi",APBD," 180000000",1.02.1.02.03.05.04.5.2.2.17.02,"Lelang Sederhana",01-03-2015,31-03-2015,01-03-2015,30-09-2015
3412307,"Belanja Modal Pembangunan Gedung Rumah Sakit",37376604800,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pembangunan Rumah Sakit",Modal,"Pekerjaan Konstruksi","1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Modal Pembangunan Gedung Rumah Sakit",APBD," 37376604800",1.02.1.02.03.26.01.5.2.3.49.06,"Lelang Umum",01-03-2015,31-03-2015,01-03-2015,31-12-2016
3412500,"Belanja Modal Pengadaan Alat Kedokteran Bedah",1878415200,"Lelang Sederhana",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pengadaan Alat-Alat Kesehatan Rumah Sakit",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Modal Pengadaan Alat Kedokteran Bedah",APBD," 1878415200",1.02.1.02.03.26.18.5.2.3.34.08,"Lelang Sederhana",01-03-2015,31-03-2015,01-03-2015,30-09-2015
4809738,"Belanja ATK",200000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja ATK",APBDP," 200000000",1.02.1.02.03.01.13.5.2.2.01.01,"Pengadaan Langsung",01-11-2015,31-12-2016,03-11-2015,31-12-2016
3411825,"Belanja Bahan Obat-Obatan",1500000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pengadaan Obat dan Perbekalan Kesehatan",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Bahan Obat-Obatan",APBD," 1500000000",1.02.1.02.03.15.01.5.2.2.02.04,E-Purchasing,01-03-2015,31-03-2015,01-03-2015,30-09-2015
4809995,"Belanja modal pengadaan alat penyimpanan perlengkapan kantor (Roll opack)",120000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja modal pengadaan alat penyimpanan perlengkapan kantor (Roll opack)",APBDP," 120000000",1.02.1.02.03.01.13.5.2.3.27.04,"Pengadaan Langsung",01-11-2015,31-12-2016,03-11-2015,31-12-2016
3410801,"Belanja Jasa Pengolahan Sampah Medis",198000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Penyediaan Jasa Kebersihan Kantor",Barang/jasa,"Jasa Lainnya","1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Jasa Pengolahan Sampah Medis",APBD," 198000000",1.02.1.02.03.01.08.5.2.2.03.18,"Penunjukan Langsung",01-03-2015,31-03-2015,01-03-2015,31-12-2016
3411941,"Belanja Cetak Kegiatan Promosi Kesehatan",53600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pengembangan Media Promosi Kesehatan",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Cetak Kegiatan Promosi Kesehatan",APBD," 53600000",1.02.1.02.03.19.01.5.2.2.06.01,"Pengadaan Langsung",01-03-2015,31-03-2015,01-03-2015,30-09-2015
3412126,"Belanja Konsultansi Penelitian (AMDAL)",600000000,"Seleksi Umum",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pembangunan Rumah Sakit",Barang/jasa,"Jasa Konsultansi","1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Konsultansi Penelitian (AMDAL)",APBD," 600000000",1.02.1.02.03.26.01.5.2.2.21.01,"Seleksi Umum",01-03-2015,31-03-2015,01-03-2015,31-12-2016
4200545,"Belanja Modal Pengadaan Alat Kedokteran Umum",2486741642,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2015,"Pengadaan Alat-Alat Kesehatan Rumah Sakit",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Modal Pengadaan Alat Kedokteran Umum",APBD," 2486741642",1.02.1.02.03.26.18.5.2.3.34.01,E-Purchasing,01-03-2015,31-03-2015,01-03-2015,30-09-2015,"Belanja Modal Pengadaan Alat Kedokteran Umum (3412469) "
