Nama Kecamatan,A,B,AB,O,A+,A-,B+,B-,AB+,AB-,O+,O-,Tidak Tahu
 SUKASARI,16288,8997,5001,12643,55,3,40,9,67,7,35,17,41607
 COBLONG,32258,14887,11024,22712,48,1,36,3,69,27,44,132,54414
 BABAKAN CIPARAY,22427,4044,2986,7667,31,4,17,1,16,28,21,97,104427
 BOJONGLOA KALER,7687,6782,5795,11917,30,4,20,2,24,21,17,27,98460
 ANDIR,23237,8116,5814,13801,33,5,20,7,9,8,11,20,72352
 CICENDO,18586,8622,4833,14295,59,9,72,19,56,24,78,138,64426
 SUKAJADI,20571,9311,5195,15197,90,11,92,23,128,70,74,233,59337
 CIDADAP,8824,3212,2069,5976,21,1,19,4,18,24,12,9,37477
 BANDUNG WETAN,10161,3766,3047,4937,34,3,31,6,40,11,34,18,18424
 ASTANA ANYAR,10094,7169,4286,13429,66,3,41,18,48,38,43,14,50674
 REGOL,23375,10114,6997,15005,32,1,14,11,19,6,9,136,47472
 BATUNUNGGAL,31624,10449,7173,15740,100,4,10,6,55,17,24,44,67347
 LENGKONG,22587,12480,6995,16796,133,7,471,29,84,29,92,28,25694
 CIBEUNYING KIDUL,19472,8710,5228,13288,58,7,38,12,54,22,42,207,74924
 BANDUNG KULON,13817,8235,4838,14450,68,6,34,3,40,36,92,35,105659
 KIARACONDONG,28531,13250,8545,20460,31,4,26,11,21,49,16,95,67980
 BOJONGLOA KIDUL,13232,4516,3156,7763,46,3,16,11,40,20,53,57,62124
 CIBEUNYING KALER,16293,9235,5459,13137,30,4,27,8,13,15,18,17,32973
 SUMUR BANDUNG,6233,2877,1650,5093,27,1,14,1,7,4,14,18,26968
 ANTAPANI,20130,12016,6685,16484,135,5,130,29,132,27,130,70,25555
 BANDUNG KIDUL,10418,5470,3039,9319,25,5,22,4,22,12,26,27,34904
 BUAH BATU,20148,11007,6356,16352,74,4,41,20,109,16,26,32,53675
 RANCASARI,23124,10758,6095,15352,89,8,119,35,153,47,91,106,37665
 ARCAMANIK,16977,9108,5399,13800,52,8,58,10,58,28,46,29,33409
 CIBIRU,18980,4381,3814,6341,36,1,20,10,21,20,22,44,52738
 UJUNGBERUNG,15534,7665,4758,12863,67,6,59,19,71,13,82,49,47847
 GEDEBAGE,6969,4367,2301,6357,25,2,23,5,26,40,24,17,22763
 PANYILEUKAN,5979,4178,2301,6026,32,4,22,13,24,4,27,34,22311
 CINAMBO,2705,1407,959,2257,2,0,3,0,6,5,2,7,19685
 MANDALAJATI,10854,5238,2949,7975,20,2,23,5,150,11,8,51,46934
