KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.02 . 1.02.01 . 00 . 00 . 4,PENDAPATAN,63769128000,
1.02 . 1.02.01 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,63769128000,
1.02 . 1.02.01 . 00 . 00 . 4 . 1 . 2,Retribusi Daerah,18769128000,
1.02 . 1.02.01 . 00 . 00 . 4 . 1 . 4,Lain-lain Pendapatan Asli Daerah yang Sah,45000000000,
1.02 . 1.02.01 . 00 . 00 . 5,BELANJA,381434239524,
1.02 . 1.02.01 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,100126132858,
1.02 . 1.02.01 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,100126132858,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.02 . 1.02.01 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,281308106666,
1.02 . 1.02.01 . 01,Program Pelayanan Administrasi Perkantoran,26244406210,
1.02 . 1.02.01 . 01 . 02,Penyediaan jasa komunikasi sumber daya air dan listrik,2054800000,
1.02 . 1.02.01 . 01 . 02 . 5 . 2 . 1,Belanja Pegawai,6500000,
1.02 . 1.02.01 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,2048300000,
1.02 . 1.02.01 . 01 . 08,Penyediaan jasa kebersihan kantor,1800000000,
1.02 . 1.02.01 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,21450000,
1.02 . 1.02.01 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,1778550000,
1.02 . 1.02.01 . 01 . 10,Penyediaan alat tulis kantor,100000000,
1.02 . 1.02.01 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,1800000,
1.02 . 1.02.01 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,98200000,
1.02 . 1.02.01 . 01 . 11,Penyediaan barang cetakan dan penggandaan,450000000,
1.02 . 1.02.01 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,8800000,
1.02 . 1.02.01 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,441200000,
1.02 . 1.02.01 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,80000000,
1.02 . 1.02.01 . 01 . 12 . 5 . 2 . 1,Belanja Pegawai,1800000,
1.02 . 1.02.01 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,78200000,
1.02 . 1.02.01 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,1230425000,
1.02 . 1.02.01 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,2500000,
1.02 . 1.02.01 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,268775000,
1.02 . 1.02.01 . 01 . 13 . 5 . 2 . 3,Belanja Modal,959150000,
1.02 . 1.02.01 . 01 . 14,Penyediaan peralatan rumah tangga,1346725000,
1.02 . 1.02.01 . 01 . 14 . 5 . 2 . 1,Belanja Pegawai,6100000,
1.02 . 1.02.01 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,203700000,
1.02 . 1.02.01 . 01 . 14 . 5 . 2 . 3,Belanja Modal,1136925000,
1.02 . 1.02.01 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,90000000,
1.02 . 1.02.01 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,90000000,
1.02 . 1.02.01 . 01 . 17,Penyediaan makanan dan minuman,87896210,
1.02 . 1.02.01 . 01 . 17 . 5 . 2 . 1,Belanja Pegawai,975000,
1.02 . 1.02.01 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,86921210,
1.02 . 1.02.01 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,350000000,
1.02 . 1.02.01 . 01 . 18 . 5 . 2 . 1,Belanja Pegawai,975000,
1.02 . 1.02.01 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,349025000,
1.02 . 1.02.01 . 01 . 19,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,16354560000,
1.02 . 1.02.01 . 01 . 19 . 5 . 2 . 1,Belanja Pegawai,2075000,
1.02 . 1.02.01 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,16352485000,
1.02 . 1.02.01 . 01 . 20,Penyediaan Jasa Pengamanan Kantor,2300000000,
1.02 . 1.02.01 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,10350000,
1.02 . 1.02.01 . 01 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,2289650000,
1.02 . 1.02.01 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,12865600000,
1.02 . 1.02.01 . 02 . 05,pengadaan Kendaraan dinas/operasional,4700000000,
1.02 . 1.02.01 . 02 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,9825000,
1.02 . 1.02.01 . 02 . 05 . 5 . 2 . 3,Belanja Modal,4690175000,
1.02 . 1.02.01 . 02 . 10,Pengadaan mebeleur,400000000,
1.02 . 1.02.01 . 02 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,4125000,
1.02 . 1.02.01 . 02 . 10 . 5 . 2 . 3,Belanja Modal,395875000,
1.02 . 1.02.01 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,4065600000,
1.02 . 1.02.01 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,68100000,
1.02 . 1.02.01 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,3997500000,
1.02 . 1.02.01 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,,
1.02 . 1.02.01 . 02 . 24 . 5 . 2 . 1,Belanja Pegawai,3700000000,
1.02 . 1.02.01 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,44450000,
1.02 . 1.02.01 . 03,Program peningkatan disiplin aparatur,3655550000,
1.02 . 1.02.01 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,,
1.02 . 1.02.01 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,500000000,
1.02 . 1.02.01 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,500000000,
1.02 . 1.02.01 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,4275000,
1.02 . 1.02.01 . 05 . 01,Pendidikan dan pelatihan formal,495725000,
1.02 . 1.02.01 . 05 . 01 . 5 . 2 . 1,Belanja Pegawai,1278815000,
1.02 . 1.02.01 . 05 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,1278815000,
1.02 . 1.02.01 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,101845000,
1.02 . 1.02.01 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,1176970000,
1.02 . 1.02.01 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,837000000,
1.02 . 1.02.01 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,837000000,
1.02 . 1.02.01 . 15,Program Obat dan Perbekalan Kesehatan,191847000,
1.02 . 1.02.01 . 15 . 01,Pengadaaan Obat dan Perbekalan Kesehatan,645153000,
1.02 . 1.02.01 . 15 . 01 . 5 . 2 . 1,Belanja Pegawai,14687940420,
1.02 . 1.02.01 . 15 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,9885320420,
1.02 . 1.02.01 . 15 . 01 . 5 . 2 . 3,Belanja Modal,199525000,
1.02 . 1.02.01 . 15 . 09,Pengadaan Obat Pelayanan Kesehatan Dasar (PKD) (DAK),5654745420,
1.02 . 1.02.01 . 15 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,4031050000,
1.24 . 1.02.01 . 16,Program penyelamatan dan pelestarian dokumen/arsip daerah,4802620000,
1.24 . 1.02.01 . 16 . 02,Pendataan dan penataan dokumen/arsip daerah,4802620000,
1.24 . 1.02.01 . 16 . 02 . 5 . 2 . 1,Belanja Pegawai,90000000,
1.24 . 1.02.01 . 16 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,90000000,
1.02 . 1.02.01 . 16,Program Upaya Kesehatan Masyarakat,17550000,
1.02 . 1.02.01 . 16 . 13,Penyediaan biaya operasional dan pemeliharaan,72450000,
1.02 . 1.02.01 . 16 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,86925759190,
1.02 . 1.02.01 . 16 . 29,Pembinaan keluarga rawan,45000000000,
1.02 . 1.02.01 . 16 . 29 . 5 . 2 . 1,Belanja Pegawai,45000000000,
1.02 . 1.02.01 . 16 . 29 . 5 . 2 . 2,Belanja Barang dan Jasa,551232000,
1.02 . 1.02.01 . 16 . 29 . 5 . 2 . 3,Belanja Modal,11150000,
1.02 . 1.02.01 . 16 . 30,Pembinaan pelayanan sarana kesehatan dasar swasta,472682000,
1.02 . 1.02.01 . 16 . 30 . 5 . 2 . 1,Belanja Pegawai,67400000,
1.02 . 1.02.01 . 16 . 30 . 5 . 2 . 2,Belanja Barang dan Jasa,11642060000,
1.02 . 1.02.01 . 16 . 30 . 5 . 2 . 3,Belanja Modal,34694000,
1.02 . 1.02.01 . 16 . 31,Pelayanan pencegahan dan penanggulangan penyakit tidak menular,11531416000,
1.02 . 1.02.01 . 16 . 31 . 5 . 2 . 1,Belanja Pegawai,75950000,
1.02 . 1.02.01 . 16 . 31 . 5 . 2 . 2,Belanja Barang dan Jasa,261838750,
1.02 . 1.02.01 . 16 . 32,Pelayanan kesehatan anak berkebutuhan khusus,8725000,
1.02 . 1.02.01 . 16 . 32 . 5 . 2 . 1,Belanja Pegawai,253113750,
1.02 . 1.02.01 . 16 . 32 . 5 . 2 . 2,Belanja Barang dan Jasa,81500000,
1.02 . 1.02.01 . 16 . 33,Pelayanan penjaringan kesehatan siswa SMP/SMA dan setingkat,4325000,
1.02 . 1.02.01 . 16 . 33 . 5 . 2 . 1,Belanja Pegawai,77175000,
1.02 . 1.02.01 . 16 . 33 . 5 . 2 . 2,Belanja Barang dan Jasa,80000000,
1.02 . 1.02.01 . 16 . 34,Pelayanan kesehatan olah raga,4325000,
1.02 . 1.02.01 . 16 . 34 . 5 . 2 . 1,Belanja Pegawai,75675000,
1.02 . 1.02.01 . 16 . 34 . 5 . 2 . 2,Belanja Barang dan Jasa,1561468200,
1.02 . 1.02.01 . 16 . 34 . 5 . 2 . 3,Belanja Modal,70375000,
1.02 . 1.02.01 . 16 . 35,Pelayanan kesehatan matra,962258200,
1.02 . 1.02.01 . 16 . 35 . 5 . 2 . 1,Belanja Pegawai,528835000,
1.02 . 1.02.01 . 16 . 35 . 5 . 2 . 2,Belanja Barang dan Jasa,394540000,
1.02 . 1.02.01 . 16 . 36,Pelayanan kesehatan indera,6925000,
1.02 . 1.02.01 . 16 . 36 . 5 . 2 . 1,Belanja Pegawai,387615000,
1.02 . 1.02.01 . 16 . 36 . 5 . 2 . 2,Belanja Barang dan Jasa,70500000,
1.02 . 1.02.01 . 16 . 37,Pelayanan kesehatan tradisional,3350000,
1.02 . 1.02.01 . 16 . 37 . 5 . 2 . 1,Belanja Pegawai,67150000,
1.02 . 1.02.01 . 16 . 37 . 5 . 2 . 2,Belanja Barang dan Jasa,68000000,
1.02 . 1.02.01 . 16 . 38,Pelayanan kesehatan jiwa,4150000,
1.02 . 1.02.01 . 16 . 38 . 5 . 2 . 1,Belanja Pegawai,63850000,
1.02 . 1.02.01 . 16 . 38 . 5 . 2 . 2,Belanja Barang dan Jasa,80000000,
1.02 . 1.02.01 . 16 . 39,pelayanan kesehatan gigi dan mulut,2375000,
1.02 . 1.02.01 . 16 . 39 . 5 . 2 . 1,Belanja Pegawai,77625000,
1.02 . 1.02.01 . 16 . 39 . 5 . 2 . 2,Belanja Barang dan Jasa,115000000,
1.02 . 1.02.01 . 16 . 40,Pelayanan kesehatan kerja,4450000,
1.02 . 1.02.01 . 16 . 40 . 5 . 2 . 1,Belanja Pegawai,110550000,
1.02 . 1.02.01 . 16 . 40 . 5 . 2 . 2,Belanja Barang dan Jasa,60000000,
1.02 . 1.02.01 . 16 . 43,Bantuan Operasional Kesehatan (DAK),4025000,
1.02 . 1.02.01 . 16 . 43 . 5 . 2 . 1,Belanja Pegawai,55975000,
1.02 . 1.02.01 . 16 . 43 . 5 . 2 . 2,Belanja Barang dan Jasa,14308000000,
1.02 . 1.02.01 . 16 . 44,Jaminan Persalinan (DAK),681976003,
1.02 . 1.02.01 . 16 . 44 . 5 . 2 . 2,Belanja Barang dan Jasa,13626023997,
1.02 . 1.02.01 . 17,Program Pengawasan Obat dan Makanan,12651620240,
1.02 . 1.02.01 . 17 . 02,Peningkatan pengawasan keaman pangan dan bahan berbahaya,12651620240,
1.02 . 1.02.01 . 17 . 02 . 5 . 2 . 1,Belanja Pegawai,307875000,
1.02 . 1.02.01 . 17 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,121150000,
1.02 . 1.02.01 . 17 . 06,Peningkatan pengawasan obat dan bahan berbahaya,7050000,
1.02 . 1.02.01 . 17 . 06 . 5 . 2 . 1,Belanja Pegawai,114100000,
1.02 . 1.02.01 . 17 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,186725000,
1.20 . 1.02.01 . 17,Program peningkatan dan pengembangan pengelolaan keuangan daerah,10900000,
1.20 . 1.02.01 . 17 . 33,Penyusunan dan Pemutakhiran Database Aset,175825000,
1.20 . 1.02.01 . 17 . 33 . 5 . 2 . 1,Belanja Pegawai,225000000,
