lokasi,nama_komoditas,2014-02-01,2014-02-02,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-08,2014-02-09,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-15,2014-02-16,2014-02-17,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-22,2014-02-23,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28
"Pasar Baru","Beras Medium",0,0,0,8500,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,8500
"Pasar Baru","Cabe Merah",0,0,0,40000,40000,40000,40000,40000,40000,0,0,40000,35000,35000,35000,35000,0,0,35000,35000,25000,25000,25000,0,0,25000,25000,26000
"Pasar Baru","Bawang Merah",0,0,0,22000,22000,22000,22000,22000,22000,0,0,22000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000
"Pasar Baru","Daging Ayam Ras",0,0,0,28000,28000,28000,28000,28000,28000,0,0,28000,27000,27000,27000,27000,0,0,27000,27000,27000,27000,27000,0,0,27000,27000,28000
"Pasar Baru","Telur Ayam Ras",0,0,0,19000,19000,19000,19000,19000,19000,0,0,19000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,16000
"Pasar Baru","Daging Sapi",0,0,0,100000,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000
"Pasar Baru","Minyak Goreng",0,0,0,12300,12300,12300,12300,12300,12300,0,0,12300,12300,12300,12300,12300,0,0,12300,12300,12300,12300,12300,0,0,12300,12300,13300
"Pasar Baru","Gula Pasir",0,0,0,11000,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Baru",Kentang,0,0,0,14000,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000
"Pasar Baru",Kedelai,0,0,0,12000,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Baru","Tepung Terigu",0,0,0,7000,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Baru","Bawang Putih",0,0,0,15000,15000,15000,15000,15000,15000,0,0,15000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Baru","Cabe Keriting",0,0,0,40000,40000,40000,40000,40000,40000,0,0,40000,30000,30000,30000,30000,0,0,30000,30000,25000,25000,25000,0,0,25000,25000,26000
"Pasar Baru","Cabe Rawit",0,0,0,38000,55000,55000,55000,55000,55000,0,0,55000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,60000
"Pasar Baru","Kacang Tanah",0,0,0,20000,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000
"Pasar Baru","Ubi Kayu",0,0,0,3000,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000
"Pasar Baru","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Jagung,0,0,0,7000,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
"Pasar Baru","Ikan Olahan",0,0,0,45000,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000
"Pasar Baru","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Minyak Goreng Curah",0,0,0,10250,10250,10250,10250,10250,10250,0,0,10250,10250,10250,10250,10250,0,0,10250,10250,10250,10250,10250,0,0,10250,10250,13000
"Pasar Baru","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Telur Ayam Kampung",0,0,0,30000,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,45000
