id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3872373,"KECAMATAN BANDUNG KIDUL","Faslitasi Pemberdayaan Lingkup Karang Taruna",6000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Mengger,"Makan dan Minum Bakti sosial Kel.Mengger",APBD," 6000000",1.22.1.20.35.22.02.5.2.2.11.05,02-01-2015,31-12-2016
3941315,"KECAMATAN BANDUNG KIDUL","Penyediaan Barang cetakan dan penggandaan",2000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",KEl.Wates,"Belanja Penggandaan Kel.Wates",APBD," 2000000",1.20.1.20.35.01.01.11.5.2.2.06.02,02-01-2015,31-12-2016
4046549,"KECAMATAN BANDUNG KIDUL","Faslitasi Pemberdayaan Lingkup LPM",4500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"50 orang",Kel.Batununggal,"Belanja Souvenir bantuan seragam SD Faslitasi Pemberdayaan Lingkup LPM",APBD," 4500000",1.22.1.20.35.22.04.5.2.2.01.11,02-01-2015,31-12-2016
4047462,"KECAMATAN BANDUNG KIDUL","Faslitasi Pemberdayaan Lingkup LPM",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"1 Kegiatan",Kel.Batununggal,"Belanja mamin Kegiatan Peringatan hari besar islam",APBD," 5000000",1.22.1.20.35.22.04.5.2.2.11.05,02-01-2015,31-12-2016
3851228,"KECAMATAN BANDUNG KIDUL","Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",1800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Mengger,"Belanja snack Ke.Pemerintahan Umum Kel.Mengger",APBD," 1800000",1.20.1.20.35.30.05.5.2.2.11.05,02-01-2015,31-12-2016
3986172,"KECAMATAN BANDUNG KIDUL","Fasilitasi Pemberdayaan Lingkup LPM",10000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Wates,"Mamin Pengerukan Selokan dan gorong-gorong",APBD," 10000000",1.22.1.20.35.22.04.5.2.2.11.05,02-01-2015,31-12-2016
3849929,"KECAMATAN BANDUNG KIDUL","Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan",3750000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Mengger,"Belanja Snack keg. PHBN dan Hari Besar Keagamaan Kel.Mengger",APBD," 3750000",1.20.1.20.35.30.02.5.2.2.11.05,02-01-2015,31-12-2016
3850587,"KECAMATAN BANDUNG KIDUL","Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Mengger,"Belanja penggandaan Keg.Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",APBD," 500000",1.20.1.20.35.30.03.5.2.2.06.02,02-01-2015,31-12-2016
3548980,"KECAMATAN BANDUNG KIDUL","Fasilitasi Peningkatan Perekonomian masyarakat Kecamatan dan Kelurahan (Belanja ATK)",3225000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan","Kecamatan Bandung Kidul","Fasilitasi Peningkatan Perekonomian masyarakat Kecamatan dan Kelurahan (Belanja ATK)",APBD," 3225000",1.20.1.20.35.01.5.2.2.01.01,02-01-2015,31-12-2016
3872306,"KECAMATAN BANDUNG KIDUL","Faslitasi Pemberdayaan Lingkup Karang Taruna",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Mengger,"Makan dan Minum Fasilitasi kegiatan HJKB Kel.Mengger",APBD," 5000000",1.22.1.20.35.22.02.5.2.2.11.05,02-01-2015,31-12-2016
4027059,"KECAMATAN BANDUNG KIDUL","Faslitasi Pemberdayaan Lingkup RW",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"100 dus",Kel.Batununggal,"Nasi dus kegiatan bhakti sosial di RW.07",APBD," 2500000",1.20.1.20.35.22.01.5.2.2.11.05,02-01-2015,31-12-2016
3935744,"KECAMATAN BANDUNG KIDUL","Penyediaan jasa komunikasi, sumber daya air dan listrik",1380000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Wates,"Belanja Telepon Kel.Wates",APBD," 1380000",1.20.1.20.35.01.01.02.5.2.2.03.01,02-01-2015,31-12-2016
3871023,"KECAMATAN BANDUNG KIDUL","Faslitasi Pemberdayaan Lingkup RW Kel.Mengger",550000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan",Kel.Mengger,"Belanja penggandaan di RW. 01 Kel.Mengger",APBD," 550000",1.20.1.20.35.22.01.5.2.2.06.02,02-01-2015,31-12-2016
3594410,"KECAMATAN BANDUNG KIDUL","Peningkatan infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan (Belanja spanduk)",1225000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KIDUL",2015,"12 Bulan","Kecamatan Bandung Kidul","Peningkatan infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan (Belanja spanduk)",APBD," 1225000",1.20.1.20.35.01.30.03.5.2.2.01.10,02-01-2015,31-12-2016
