id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3292087,"KECAMATAN CINAMBO","Penyediaan jasa kebersihan kantor",7200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kecamatan Cinambo","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 7200000",1.20.38.01.5.2.01.08,02-01-2015,31-12-2016
3305141,"KECAMATAN CINAMBO","Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",42350000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Sukamulya","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 42350000",1.20.38.03.5.2.30.07,02-01-2015,31-12-2016
3379771,"KECAMATAN CINAMBO","Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan",22000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Sukamulya","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 22000000",1.20.38.03.5.2.30.04,02-01-2015,31-12-2016
3300051,"KECAMATAN CINAMBO","Penyediaan barang cetakan dan penggandaan",4500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Pakemitan","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 4500000",1.20.38.02.5.2.01.11,02-01-2015,31-12-2016
3292578,"KECAMATAN CINAMBO","Penyediaan jasa kebersihan kantor",600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Cisaranten Wetan","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 600000",1.20.38.04.5.2.01.08,02-01-2015,31-12-2016
3303528,"KECAMATAN CINAMBO","Penyediaan makanan dan minuman",16999200,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Sukamulya","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 16999200",1.20.38.03.5.2.01.17,02-01-2015,31-12-2016
3292656,"KECAMATAN CINAMBO","Fasilitasi Pemberdayaan Lingkup Karang Taruna",100000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Cisaranten Wetan","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 100000000",1.20.38.04.5.2.22.03,02-01-2015,31-12-2016
3292423,"KECAMATAN CINAMBO","Penyediaan bahan bacaan dan peraturan perundang-undangan",1200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Babakan Penghulu","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 1200000",1.20.38.05.5.2.01.15,02-01-2015,31-12-2016
3292585,"KECAMATAN CINAMBO","Penyediaan jasa perbaikan peralatan kerja",4400000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Cisaranten Wetan","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 4400000",1.20.38.04.5.2.01.09,02-01-2015,31-12-2016
3292230,"KECAMATAN CINAMBO","penyusunan pelaporan keuangan akhir tahun",6025000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kecamatan Cinambo","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 6025000",1.20.38.01.5.2.06.04,02-01-2015,31-12-2016
3292177,"KECAMATAN CINAMBO","Rapat-rapat koordinasi dan konsultasi ke luar daerah",2000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kecamatan Cinambo","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 2000000",1.20.38.01.5.2.01.18,02-01-2015,31-12-2016
3292391,"KECAMATAN CINAMBO","Penyediaan jasa perbaikan peralatan kerja",3800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Babakan Penghulu","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 3800000",1.20.38.05.5.2.01.09,02-01-2015,31-12-2016
3292162,"KECAMATAN CINAMBO","Penyediaan makanan dan minuman",7000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kecamatan Cinambo","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 7000000",1.20.38.01.5.2.01.17,02-01-2015,31-12-2016
3304864,"KECAMATAN CINAMBO","Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",127950000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Sukamulya","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 127950000",1.20.38.03.5.2.30.03,02-01-2015,31-12-2016
3379652,"KECAMATAN CINAMBO","Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",20225000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Cisaranten Wetan","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 20225000",1.20.38.04.5.2.30.07,02-01-2015,31-12-2016
3292197,"KECAMATAN CINAMBO","Penyusunan pelaporan keuangan semesteran",9950000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kecamatan Cinambo","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 9950000",1.20.38.01.5.2.06.02,02-01-2015,31-12-2016
3299532,"KECAMATAN CINAMBO","Penyediaan jasa perbaikan peralatan kerja",2000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Pakemitan","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 2000000",1.20.38.02.5.2.01.09,02-01-2015,31-12-2016
3302708,"KECAMATAN CINAMBO","Penyediaan jasa perbaikan peralatan kerja",7259600,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Sukamulya","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 7259600",1.20.38.03.5.2.01.09,02-01-2015,31-12-2016
3379357,"KECAMATAN CINAMBO","Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan",47500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CINAMBO",2015,"12 bulan","Kelurahan Babakan Penghulu","Pelaksanaan pekerjaan ini di lakukan awal Januari sampai dengan Desember 2015",APBD," 47500000",1.20.38.05.5.2.30.02,02-01-2015,31-12-2016
