nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,4,0,0,0,2,39,17
Coblong,6,0,0,2,3,27,1
Babakan Ciparay,3,0,0,1,1,6,3
Bojongloa Kaler,4,0,0,4,0,13,0
Andir,11,1,0,0,3,10,0
Cicendo,11,0,0,3,0,18,2
Sukajadi,91,27,0,12,0,22,11
Cidadap,8,5,0,0,0,39,2
Bandung Wetan,42,7,0,5,3,17,9
Astana Anyar,70,21,0,0,0,30,1
Regol,29,2,0,4,0,10,8
Batununggal,3,0,0,0,2,21,0
Lengkong,8,0,0,1,0,16,1
Cibeunying Kidul,8,0,0,0,0,21,0
Bandung Kulon,3,0,0,20,1,57,23
Kiaracondong,3,0,0,2,1,11,2
Bojongloa Kidul,2,0,0,0,0,2,2
Cibeunying Kaler,0,0,0,0,0,2,0
Sumur Bandung,8,0,0,5,15,31,19
Antapani,3,0,0,0,0,10,2
Bandung Kidul,2,0,0,2,0,19,1
Buahbatu,4,0,0,0,2,27,0
Rancasari,8,0,0,1,0,54,3
Arcamanik,7,0,0,0,1,12,0
Cibiru,47,0,0,2,31,14,7
Ujung Berung,3,0,0,4,0,7,11
Gedebage,0,1,0,0,1,17,18
Panyileukan,1,0,0,0,0,8,0
Cinambo,67,21,0,0,0,5,0
Mandalajati,3,0,0,0,0,11,4
