id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
670906,"Pengadaan Komputer ( Tablet )",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"5 Unit","Kecamatan Regol ","Pengadaan Tablet utk Kasie di Kecamatan ",APBD," 25000000",1.20.25.01.01.13.5.2.3.12.03,"Pengadaan Langsung",03-03-2014,10-03-2014,10-03-2014,13-03-2014
781118,"Pengadaan Alat Biopori",14000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan ",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Pengadaan alat biopori",APBD," 14000000",1.20.25.04.30.03.5.2.2.25.01,"Pengadaan Langsung",03-03-2014,10-03-2014,10-03-2014,24-03-2014
768238,"Pengadaan Bahan Bakar Minyak ",33000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Pengadaan BBM untuk satu tahun",APBD," 33000000",1.20.25.02.02.24.,"Pengadaan Langsung",03-03-2014,10-03-2014,03-03-2014,31-12-2015
751560,"Pengadaan Bibit Tanaman",5000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup TIngkat KEcamatan dan Kelurahan ",Barang/jasa,Barang,"1 Paket","Kota Bandung","Pengadaan bibit tanaman untuk kegiatan sosialisasi ayo berkebun",APBD," 5000000",1.20.25.01.30.03.5.2.2.02.02,"Pengadaan Langsung",01-04-2014,04-04-2014,07-04-2014,11-04-2014
769357,"Pembeliaan BBM",33000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Pengadaan BBM untuk kendaraan operasional ",APBD," 33000000",1.20.25.03.02.24.,"Pengadaan Langsung",04-03-2014,17-03-2014,03-03-2014,31-12-2015
768281,"Pengadaan Sumur Resapan ",23050000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan ",Barang/jasa,Barang,"1 Paket","Kota Bandung","Pengadaan Sumur Resapan ",APBD," 23050000",1.20.25.02.30.03.,"Pengadaan Langsung",03-03-2014,10-03-2014,10-03-2014,24-03-2014
769356,"Penggantian Suku Cadang",11500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional ",Barang/jasa,Barang,"1 Tahun","Kota Bandung","Penggantian suku cadang kendaraan dinas",APBD," 11500000",1.20.25.03.02.24.,"Pengadaan Langsung",03-03-2014,17-03-2014,03-03-2014,31-12-2015
775465,"Pengadaan Shelter Sepeda",19000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Pengadaan perlengkapan gedung kantor",Modal,Barang,"1 Paket","Kota Bandung","Pembuatan shelter sepeda",APBD," 19000000",1.20.25.04.02.07.,"Pengadaan Langsung",05-05-2014,09-05-2014,14-04-2014,30-04-2014
769343,"Pengadaan Proyektor",24000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 Paket","Kota Bandung","Pengadaan Proyektor ",APBD," 24000000",1.20.25.03.01.13.5.2.3.16.03,"Pengadaan Langsung",01-05-2014,05-05-2014,06-05-2014,16-05-2014
684689,"Pembuatan Sumur Artesis",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Rehabilitasi Sedang/Berat Gedung Kantor ",Modal,"Pekerjaan Konstruksi","1 Unit","Kecamatan Regol","Pengadaan sumur artesis",APBD," 50000000",1.20.25.01.02.42.5.2.3.26.01,"Pengadaan Langsung",03-03-2014,10-03-2014,10-03-2014,24-03-2014
685247,"Pengadaan Jaringan Internet",17500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Penyusunan Sistem Informasi terhadap layanan public",Barang/jasa,Barang,"1 Paket","Kota Bandung","Pengadaan Jaringan Internet untuk Kegiatan Paperless",APBD," 17500000",1.20.25.01.23.01.5.2.2.03.06,"Pengadaan Langsung",10-03-2014,21-03-2014,07-04-2014,21-04-2014
790572,"Pengadaan shelter ",19000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Pengadaan perlengkapan gedung kantor",Modal,Barang,"1 Paket","Kota Bandung","Pengadaan shelter sepeda",APBD," 19000000",1.20.25.07.02.07.5.2.3.26.09.,"Pengadaan Langsung",02-04-2014,08-04-2014,09-04-2014,30-04-2014
768008,"Pengadaan Komputer Tablet",29000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"1 Paket","Kota Bandung","Pengadaan Komputer Tablet sebanyak 6 Unit",APBD," 29000000",1.20.25.02.01.13,"Pengadaan Langsung",03-03-2014,08-03-2014,10-03-2014,17-03-2014
670997,"Pengadaan Kamera ",16500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN REGOL",2014,"Penyediaan Peralatan dan Perlengkapan Aparatur ",Modal,Barang,"1 Paket","Kota Bandung ","Pengadaan Kamera ",APBD," 16500000",1.20.25.01.02.12.5.2.3.16.01,"Pengadaan Langsung",08-04-2014,15-04-2014,15-04-2014,21-04-2014
