NO,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,KELURAHAN,JENIS USAHA/PRODUKSI
1,Chandra Fashion,Tarumasari RT 02/05 ,Antapani Kulon,Jaket Kulit
2,"Double ""L""",Jl. Antapani RT 05/05,Antapani Kulon,Finishing Percetakan
3,,Sukapura RT 02/06,Antapani Kulon,Baso Tahu
4,Sumber Sarana Tehnik ,Sukanegla Gg. Maja III/68,Antapani Kulon,Spare Part dll
5,Anugrah Sisa Export,Tarumasari RT 04/05,Antapani Kulon,Pakaian Jadi
6,Fitri Collection,Jl. Jakarta 13 No. 7 RT 02/02,Antapani Kulon,Rajutan Sulam Pita
7,"""A4"" Spanduk",Jl. Kalijati 6 No. 38 RT 01/03,Antapani Kulon,Percetakan Spanduk
8,,Jl. Kalijati 5 No. 7 RT 02/03,Antapani Kulon,Betaplas/Plester
9,Talenta Baso,Jl. Kalijati 17 No. 2 RT 02/03,Antapani Kulon,Pembuatan Baso
10,,Jl. Sukanegla RT 02/01,Antapani Kulon,Kue Basah
11,Asholah,Jl. Kalijati 7 No. 16 RT 04/03,Antapani Kulon,Sablon
12,Abon H. Ahmad,Jl. Kalijati No. 1,Antapani Kulon,"Abon,Dendeng,Kerupuk Kulit dll"
13,,Jl. Kalijati Raya No. 42,Antapani Kulon,Macam-macam tas Anak
14,,Jl. Sukanegla RT 05/01,Antapani Kulon,Macam-macam Tenda
15,Keripik Ceu Ati,Tarumasari RT 05/05,Antapani Kulon,Macam-macam Keripik
16,,Sindang sari 3RT 01/09,Antapani Wetan,Bordir
17,,Bunisari RT 01/07,Antapani Wetan,Kripik Pisang
18,,Sindang sari 2 RT 06/10,Antapani Wetan,Kaos Kaki
19,,Sindang sari 3 RT 06/09,Antapani Wetan,Kripik Paru & Bayam
20,,Bunisari RT 01/07,Antapani Wetan,Cilok & Baso
21,Yasin,Bunisari RT 05/07,Antapani Wetan,Kue Semprong
22,,Bunisari RT 02/07,Antapani Wetan,Kripik Pisang
23,Mekarsari,Sindang sari 1 RT 05/08,Antapani Wetan,Kripik Bawang & Cistik
24,,Sindang sari 2 RT 05/10,Antapani Wetan,Konveksi Jaket
25,,Sindang sari 3 RT 02/09,Antapani Wetan,Kasreng
26,,Sindang sari 2 RT 05/10,Antapani Wetan,Konveksi Jaket & Bordir
27,,Bunisari RT 05/07,Antapani Wetan,Konveksi Kaos
28,SHN,Sindang sari 1 RT 02/08,Antapani Wetan,Kerupuk
29,Rama Putra,Sindang sari 3 RT 03/09,Antapani Wetan,Kerupuk
30,Syahida Collection,Sindang sari 2 RT 04/10,Antapani Wetan,Kerudung & Tas Talikur
31,,Cihaurkuku RT 05/01,Antapani Wetan,Konveksi Kaos
32,TJ 55,Tanjungsari 5 No. 55,Antapani Wetan,Konveksi Kaos & Sablon
33,,Malangbong 3 No. 17,Antapani Wetan,Bolu Pisang & Ketan
34,,Sindang sari 1 RT 06/08,Antapani Wetan,Batu Ali
35,,Sindang sari 1 RT 02/08,Antapani Wetan,Batu Ali
36,,Sindang sari 1 RT 02/08,Antapani Wetan,Batu Ali
37,,Jl. Bunisari 8 RT 04/19,Antapani Tengah,Snak & Nasi Box
38,Dalia Sport,Jl. Cibodas 105,Antapani Tengah,Konveksi
39,,Jl. Cikampek 15 No. 06,Antapani Tengah,Konveksi C 15
40,Canatha Bakerry,Jl. Cibodas I No. 38,Antapani Tengah,Roti
41,Sinar,Jl. Cibatu Raya,Antapani Tengah,Catering
42,,Jl. Plered 9,Antapani Tengah,Pepes Nasi
43,,Jl. Kawali Raya No. 3,Antapani Tengah,Bantal Hias
44,Antasari,Jl. Antapani Lama No. 78,Antapani Tengah,Comring & Kue Kalapa
45,,Jl. Purwakarta 7 RT 05/01,Antapani Tengah,Rajutan Collection
46,,Jl. Subang RT 02/02,Antapani Tengah,Sablon
47,,Jl. Antapani Lama RT 02/08,Antapani Tengah,Panahan & Alat Tebing
48,,Jl. Subang RT 01/02,Antapani Tengah,Catering
49,,Jl. Purwakarta 5 No. 13,Antapani Tengah,Pembuatan Roti
50,,Jl. Subang RT 03/02,Antapani Tengah,Aneka Pepes
