lokasi,nama_komoditas,2017-02-01,2017-02-02,2017-02-03,2017-02-04,2017-02-05,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-11,2017-02-12,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-18,2017-02-19,2017-02-20,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-25,2017-02-26,2017-02-27,2017-02-28
"Pasar Kosambi","Beras Medium",10000,10000,10000,0,0,5000,10000,10000,10000,10000,0,0,10000,10000,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0
"Pasar Kosambi","Cabe Merah",50000,50000,50000,0,0,25000,50000,55000,60000,60000,0,0,60000,60000,0,60000,60000,0,0,60000,50000,50000,50000,50000,0,0,50000,0
"Pasar Kosambi","Bawang Merah",40000,40000,40000,0,0,20000,40000,40000,40000,40000,0,0,40000,40000,0,40000,40000,0,0,45000,27500,10000,27500,27500,0,0,45000,0
"Pasar Kosambi","Daging Ayam Ras",33000,33000,33000,0,0,16000,32000,32000,32000,32000,0,0,30000,30000,0,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,0
"Pasar Kosambi","Telur Ayam Ras",19500,19500,19500,0,0,9750,19500,19500,19500,19500,0,0,19500,19500,0,19500,19500,0,0,19500,19500,19500,19500,19500,0,0,19500,19000
"Pasar Kosambi","Daging Sapi",120000,120000,120000,0,0,60000,120000,120000,120000,120000,0,0,120000,120000,0,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,0
"Pasar Kosambi","Minyak Goreng",15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,21500,0,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0
"Pasar Kosambi","Gula Pasir",14000,14000,28000,0,0,7000,14000,14000,14000,14000,0,0,14000,14000,0,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,0
"Pasar Kosambi",Kentang,16000,16000,16000,0,0,8000,16000,16000,16000,16000,0,0,16000,11750,0,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,0
"Pasar Kosambi",Kedelai,11000,11000,11000,0,0,5500,11000,11000,11000,19500,0,0,11000,11000,0,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,0
"Pasar Kosambi","Tepung Terigu",7500,7500,7500,0,0,3750,7500,7500,7500,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,0
"Pasar Kosambi","Bawang Putih",40000,40000,40000,0,0,20000,40000,40000,40000,40000,0,0,40000,40000,0,40000,40000,0,0,45000,45000,45000,45000,45000,0,0,45000,0
"Pasar Kosambi","Cabe Keriting",50000,50000,50000,0,0,25000,50000,110000,60000,60000,0,0,60000,60000,0,60000,60000,0,0,60000,50000,50000,50000,50000,0,0,50000,0
"Pasar Kosambi","Cabe Rawit",140000,140000,140000,0,0,80000,160000,160000,160000,160000,0,0,160000,160000,0,160000,160000,0,0,150000,150000,150000,150000,150000,0,0,150000,0
"Pasar Kosambi","Kacang Tanah",28000,28000,28000,0,0,14000,28000,28000,28000,28000,0,0,28000,28000,0,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,0
"Pasar Kosambi","Ubi Kayu",4000,4000,4000,0,0,2000,4000,4000,4000,4000,0,0,4000,4000,0,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,16000,0
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi",Jagung,12000,12000,12000,0,0,6000,12000,12000,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0
"Pasar Kosambi","Ikan Olahan",70000,70000,70000,0,0,35000,70000,70000,70000,70000,0,0,70000,70000,0,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,0
"Pasar Kosambi","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Minyak Goreng Curah",12500,12500,12500,0,0,6250,12500,12500,12500,12500,0,0,12500,12500,0,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,0
"Pasar Kosambi","Daging Ayam Kampung",75000,75000,75000,0,0,37500,75000,75000,75000,75000,0,0,75000,75000,0,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,0
"Pasar Kosambi","Telur Ayam Kampung",40000,40000,40000,0,0,20000,40000,40000,40000,40000,0,0,40000,40000,0,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,0
"Pasar Kosambi","Susu Kental Manis Merk Bendera",10000,10000,10000,0,0,5000,10000,10000,10000,10000,0,0,10000,10000,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0
"Pasar Kosambi","Susu Kental Manis Merk Indomilk",9500,9500,9500,0,0,4750,9500,9500,9500,9500,0,0,9500,9500,0,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,0
"Pasar Kosambi","Garam Beryodium Bata",1500,1500,1500,0,0,750,1500,1500,1500,1500,0,0,1500,1500,0,1500,1500,0,0,1500,1500,1500,1500,1500,0,0,1500,0
"Pasar Kosambi","Garam Beryodium Halus",6000,6000,6000,0,0,3000,6000,6000,6000,6000,0,0,6000,6000,0,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,0
