lokasi,nama_komoditas,2016-05-06,2016-05-13,2016-05-20,2016-05-27,2016-05-02,2016-05-03,2016-05-04,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-16,2016-05-17,2016-05-19,2016-05-23,2016-05-24,2016-05-25,2016-05-26,2016-05-30,2016-05-31,,
Pasar Kiaracondong,Beras Medium,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,
Pasar Kiaracondong,Cabe Merah,0,30000,25000,30000,20000,32000,32000,35000,35000,35000,34167,0,25000,25000,25000,25000,25000,30000,30000,30000,,
Pasar Kiaracondong,Bawang Merah,0,38000,38000,38000,38000,34000,34000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,36000,,
Pasar Kiaracondong,Daging Ayam Ras,0,33000,32000,32000,30000,30000,30000,33000,33000,33000,33000,32000,32000,32000,32000,32000,32000,32000,32000,34000,,
Pasar Kiaracondong,Telur Ayam Ras,0,20000,20000,21500,19000,0,20000,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,21500,21500,23000,,
Pasar Kiaracondong,Daging Sapi,0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,,
Pasar Kiaracondong,Minyak Goreng,0,0,15000,15000,0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,,
Pasar Kiaracondong,Gula Pasir,0,15000,15000,15000,13000,13000,13000,13000,13000,13000,13000,15000,15000,15000,15000,15000,15000,15000,15000,15000,,
Pasar Kiaracondong,Kentang,0,10000,12000,0,9000,10000,10000,10000,10000,10000,10000,12000,12000,12000,14000,14000,14000,14000,14000,0,,
Pasar Kiaracondong,Kedelai,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,,
Pasar Kiaracondong,Tepung Terigu,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,,
Pasar Kiaracondong,Bawang Putih,0,34000,34000,0,32000,34000,34000,34000,34000,34000,34000,34000,34000,34000,38000,0,38000,38000,38000,38000,,
Pasar Kiaracondong,Cabe Keriting,0,30000,25000,0,24000,25000,25000,25000,25000,25000,25833,25000,25000,25000,25000,25000,25000,20000,20000,15000,,
Pasar Kiaracondong,Cabe Rawit,0,30000,25000,25000,25000,32000,0,30000,30000,30000,30000,25000,25000,25000,0,25000,25000,25000,25000,35000,,
Pasar Kiaracondong,Kacang Tanah,0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,27000,,
Pasar Kiaracondong,Ubi Kayu,0,5000,0,5000,5000,0,5000,5000,5000,5000,5000,5000,0,5000,5000,5000,5000,5000,5000,5000,,
Pasar Kiaracondong,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Kiaracondong,Jagung,0,8000,8000,8000,9000,10000,10000,10000,10000,10000,9667,8000,8000,8000,8000,8000,8000,8000,9000,8000,,
Pasar Kiaracondong,Ikan Olahan,0,60000,60000,60000,60000,0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,,
Pasar Kiaracondong,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Kiaracondong,Minyak Goreng Curah,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,,
Pasar Kiaracondong,Daging Ayam Kampung,0,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,,
Pasar Kiaracondong,Telur Ayam Kampung,0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,0,45000,45000,45000,,
Pasar Kiaracondong,Susu Kental Manis Merk Bendera,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,,
Pasar Kiaracondong,Susu Kental Manis Merk Indomilk,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,
Pasar Kiaracondong,Garam Beryodium Bata,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,
Pasar Kiaracondong,Garam Beryodium Halus,0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,
Pasar Kiaracondong,Tepung Terigu Cakra Kembar,0,8000,8000,80000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,0,8000,8000,,
Pasar Kiaracondong,Tepung Terigu Kunci,0,7500,7500,7500,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,,
Pasar Kiaracondong,Mie Instan,0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,,
Pasar Kiaracondong,Cabe Rawit Hijau,0,20000,20000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,18000,18000,20000,,
Pasar Kiaracondong,Kacang Hijau,0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,0,23000,23000,23000,23000,23000,23000,,
Pasar Kiaracondong,Susu Bubuk Dancow,0,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,38300,,
Pasar Kiaracondong,Susu Bubuk Indomilk,0,34950,34950,34950,0,34950,34950,0,34950,34950,34950,34950,34950,34950,34950,34950,34950,34950,34950,34950,,
Pasar Kiaracondong,Ikan Kembung,0,35000,35000,35000,35000,0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,,
