NO,KELURAHAN,SUMBER ANGGARAN,JUMLAH PEMBUATAN BIOPORI,WAKTU PEMBUATAN,KETERANGAN
1,Margasari,DPA Kelurahan (PIPPK),206,OKTOBER,Komplek Kiarasari RW 01
2,Margasari,DPA Kelurahan (PIPPK),206,OKTOBER,Jln Ibrahim Adjie  & Jl SMP 18 RW 02
3,Margasari,DPA Kelurahan (PIPPK),181,OKTOBER,Gg. Antabaru & Jl. Bahagia RW 03
4,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Komplek Antabaru Endah RW 04
5,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Komplek Bahagia Permai RW 05
6,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Jln cipagalo Girang RW 06
7,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Jln Cipagalo  RW 07
8,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Margaluyu Barat RW 08
9,Margasari,DPA Kelurahan (PIPPK),156,OKTOBER,Margaluyu RW 09
10,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Margasari RW 10
11,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Komplek Mega Brata RW 11
12,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Jln Siti Mariah  RW 12
13,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Komplek Margahayu Raya  RW   13
14,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Komplek Margahayu Raya RW 14
15,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Komplek Marga Makmur Ciwastra RW 15
16,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Jl. Sawo Endah Rancasawo  RW 18
17,Margasari,DPA Kelurahan (PIPPK),306,OKTOBER,Kajim Mekar  RW  17
18,Margasari,DPA Kelurahan (PIPPK),206,OKTOBER,Rancasawo RW 18
19,Margasari,DPA Kelurahan (PIPPK),146,OKTOBER,Jln Ransacawo RW  19
20,Margasari,DPA Kelurahan (PIPPK),206,OKTOBER,Komplek Pindad Tirtasari RW 20
21,Margasari,DPA Kelurahan (PIPPK),181,OKTOBER,Komplek Pindad Rancasawo RW 21
22,Sekejati,KEMASYARAKATAN,8,DESEMBER 2015,Sutet RW 05
23,Sekejati,DPA Kelurahan,420,DESEMBER 2015,
24,Cijawura,KEMASYARAKATAN,81,JANUARI-DESEMBER 2015,
25,Cijawura,DPA Kelurahan,65,DESEMBER 2015,
26,Jatisari,KEMASYARAKATAN,400,DESEMBER 2015,RW 07
27,Jatisari,DPA Kelurahan,72,DESEMBER 2015,
,JUMLAH,,4592,,
