skpd_terlapor,januari_2015,februari_2015,maret_2015,april_2015,mei_2015,juni_2015,juli_2015,agustus_2015,september_2015,oktober_2015,november_2015,desember_2015
Asisten Pemerintahan dan Kesejahteraan Rakyat Kota Bandung,0,1,0,0,0,2,1,0,0,0,0,0
"Badan Kepegawaian, Pendidikan dan Pelatihan Kota Bandung",7,5,1,3,1,3,4,3,4,2,4,2
Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia,0,0,0,0,0,0,0,0,0,0,0,0
Badan Pengelolaan Keuangan dan Aset Kota Bandung,1,1,2,1,0,0,1,1,5,0,1,1
Badan Pengelolaan Pendapatan Daerah Kota Bandung,0,0,4,6,3,5,4,1,2,4,1,3
"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Kota Bandung",0,2,0,3,0,1,1,0,0,0,0,0
Bagian Hukum Kota Bandung,0,0,1,0,0,0,0,0,0,0,0,1
Bagian Kesejahteraan Rakyat dan Kemasyarakatan Kota Bandung,1,0,0,1,0,1,1,1,0,0,2,2
Bagian Organisasi dan Pemberdayaan Aparatur Daerah Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0
Bagian Pemerintahan Kota Bandung,8,4,4,2,7,11,10,3,8,7,3,8
Bagian Pengadaan Barang dan Jasa Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0
Bagian Perekonomian Kota Bandung,2,0,0,1,0,0,1,0,1,0,0,0
Bagian Tata Usaha dan Kepegawaian Kota Bandung,0,1,0,0,0,0,4,0,0,0,0,0
Bagian Umum dan Keuangan Kota Bandung,0,0,0,0,1,2,1,0,0,1,0,0
BPJS Kesehatan Divisi Regional V,0,0,0,0,0,0,0,2,0,1,0,0
Dinas Kebakaran dan Penanggulangan Bencana Kota Bandung,0,0,1,0,1,0,1,0,0,0,0,1
Dinas Kebudayaan dan Pariwisata Kota Bandung,7,4,2,4,1,2,1,2,2,1,2,2
Dinas Kependudukan dan Pencatatan Sipil Kota Bandung,11,9,14,7,2,10,7,14,14,18,20,18
Dinas Kesehatan Kota Bandung,11,8,5,11,5,4,4,4,4,6,0,3
Dinas Komunikasi dan Informatika Kota Bandung,8,1,3,2,1,5,5,6,1,4,4,3
"Dinas Koperasi, Usaha Mikro, Kecil, dan Menengah Kota Bandung",10,7,1,0,2,7,1,1,1,0,2,2
Dinas Lingkungan Hidup dan Kebersihan Kota Bandung,3,2,2,2,4,3,5,4,1,3,5,3
Dinas Pangan dan Pertanian Kota Bandung,1,0,0,0,1,0,0,0,0,0,1,2
Dinas Pekerjaan Umum Kota Bandung,60,36,48,33,37,43,41,25,28,36,67,35
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, dan Pemberdayaan Masyarakat Kota Bandung",3,1,1,0,0,0,0,0,1,0,0,1
Dinas Pemuda dan Olahraga Kota Bandung,2,3,2,0,4,0,0,0,1,0,2,0
Dinas Penanaman Modal dan PTSP Kota Bandung,5,3,2,5,5,3,2,4,4,5,6,2
Dinas Penataan Ruang Kota Bandung,6,4,12,14,7,8,3,6,9,3,9,5
Dinas Pendidikan Kota Bandung,15,19,10,13,18,17,48,22,8,17,5,5
