nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,110,257,53,183,332,0,0,0,200,200,4,12,1,189,100,106,245,52,194,432
Coblong,90,168,16,316,511,0,0,0,0,0,12,13,2,148,22,78,155,14,168,489
Babakan Ciparay,80,188,23,126,320,25,0,0,20,50,9,3,3,47,22,96,185,20,99,348
Bojongloa Kaler,72,57,8,4,418,0,0,0,300,0,3,5,0,171,102,69,52,8,133,316
Andir,112,119,17,0,210,10,0,3,27,0,10,2,3,27,7,112,117,17,0,203
Cicendo,26,292,0,88,244,15,0,0,25,0,19,15,0,52,7,22,277,0,61,237
Sukajadi,28,71,12,49,104,150,0,0,527,300,123,37,12,536,243,55,34,0,40,161
Cidadap,135,151,28,127,497,25,0,0,60,0,10,2,0,27,13,150,149,28,160,484
Bandung Wetan,80,144,56,155,569,0,0,0,0,0,16,14,0,26,16,64,130,56,129,553
Astana Anyar,197,261,12,346,726,25,0,0,400,100,113,97,1,268,156,109,164,11,478,670
Regol,123,144,19,353,552,0,0,0,0,0,27,21,0,139,23,96,123,19,214,529
Batununggal,85,160,19,155,269,25,0,2,180,0,52,57,2,236,42,58,103,19,99,227
Lengkong,112,272,45,226,470,0,0,0,140,0,7,10,4,197,125,105,262,41,169,345
Cibeunying Kidul,21,30,9,138,287,0,0,0,0,0,21,5,1,85,10,0,25,8,53,277
Bandung Kulon,78,140,8,146,377,0,0,0,0,0,31,13,1,86,19,47,127,7,60,358
Kiaracondong,55,75,19,31,81,0,0,0,40,100,13,49,0,28,40,42,26,19,43,141
Bojongloa Kidul,16,25,0,108,68,0,0,0,0,0,0,0,0,5,0,16,25,0,103,68
Cibeunying Kaler,48,24,20,37,103,0,0,0,0,0,15,8,0,22,30,33,16,20,15,73
Sumur Bandung,37,0,0,74,446,0,0,0,0,0,4,0,0,53,12,33,0,0,21,434
Antapani,76,168,11,85,370,0,0,0,100,100,1,22,0,141,77,75,146,11,44,393
Bandung Kidul,115,178,24,25,515,0,0,10,300,100,6,13,0,249,94,109,165,34,76,521
Buahbatu,71,66,23,69,217,0,0,0,120,0,5,33,2,117,21,66,33,21,72,196
Rancasari,7,81,19,0,140,0,0,0,120,100,3,2,0,120,63,4,79,19,0,177
Arcamanik,114,78,3,110,74,33,0,0,0,100,7,78,3,90,151,140,0,0,20,23
Cibiru,127,236,61,152,326,0,0,0,292,201,7,13,0,389,194,120,223,61,55,333
Ujung Berung,0,40,0,0,0,25,0,0,60,100,0,11,0,36,13,25,29,0,24,87
Gedebage,11,97,8,68,259,50,36,0,100,100,13,85,0,53,59,48,48,8,115,300
Panyileukan,39,32,7,130,110,0,0,0,0,0,1,2,0,47,103,38,30,7,83,7
Cinambo,199,190,34,185,333,105,0,66,0,0,80,0,6,13,12,224,190,94,172,321
Mandalajati,176,235,8,98,505,0,0,0,40,0,7,10,0,101,46,169,225,8,37,459
