nama_skpd,I-A,I-B,I-C,I-D,II-A,II-B,II-C,II-D,III-A,III-B,III-C,III-D,IV-A,IV-B,IV-C,IV-D,IV-E
Sekretariat Daerah,0,0,10,2,25,31,35,10,70,90,53,37,16,6,11,2,0
Sekretariat DPRD,0,2,0,2,3,20,3,1,12,18,9,9,3,4,1,0,0
Inspektorat,0,0,0,0,2,1,1,2,7,18,8,22,14,15,6,0,0
Badan Kepegawaian Daerah,0,0,0,0,0,4,14,1,20,26,16,8,4,3,1,0,0
Badan Kesbang & Pemberdayaan Masy.,0,0,0,0,5,8,17,2,6,12,1,11,2,3,0,0,0
Badan Pelayanan Perijinan Terpadu,0,1,0,0,0,5,16,4,17,44,23,12,5,1,1,0,0
Badan Pemberdayaan Perempuan & KB,0,0,0,0,0,3,3,1,1,8,9,25,18,10,1,0,0
Badan Pengelolaan Lingkungan Hidup,0,1,0,1,1,0,3,3,6,18,14,8,8,1,1,0,0
Badan Perencanaan Pemb. Daerah,1,1,1,0,0,3,1,1,9,32,14,17,13,1,1,0,0
Dinas Bina Marga & Pengairan,0,1,41,3,63,34,124,9,42,43,26,19,9,1,0,0,0
Dinas Kebudayaan & Pariwisata,0,0,0,1,3,5,3,1,9,12,6,13,6,4,0,0,0
Dinas Kependudukan & Pencatatan Sipil,0,2,3,1,10,17,13,2,33,17,2,8,7,1,1,0,0
Dinas Kesehatan,0,1,3,2,14,36,102,105,153,269,225,227,41,22,9,10,0
Dinas Komunikasi & Informatika,0,1,0,0,1,3,5,2,3,21,9,8,2,4,0,0,0
Dinas Koperasi & UKM Perindag,0,0,1,0,0,1,4,1,5,40,9,24,10,2,1,0,0
Dinas Pelayanan Pajak,0,3,4,2,8,48,30,19,34,110,45,47,14,1,1,0,0
Dinas Pemakaman dan Pertamanan,1,4,40,4,54,27,53,3,20,20,16,8,8,2,1,0,0
Dinas Pemuda & Olahraga,0,0,4,0,2,23,17,1,8,11,7,9,7,2,0,0,0
Dinas Pencegahan & Penanggulangan Kebakaran,0,2,7,1,16,36,63,5,33,7,5,8,7,2,1,0,0
