lokasi,nama_komoditas,2016-01-01,2016-01-08,2016-01-15,2016-01-22,2016-01-29,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-11,2016-01-12,2016-01-13,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-25,2016-01-26,2016-01-27,2016-01-28,
Pasar Sederhana,Beras Medium,0,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,
Pasar Sederhana,Cabe Merah,0,55000,45000,0,40000,55000,55000,55000,55000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,
Pasar Sederhana,Bawang Merah,0,34000,34000,32000,30000,37000,37000,34000,0,34000,34000,34000,34000,34000,32000,32000,30000,30000,30000,30000,
Pasar Sederhana,Daging Ayam Ras,0,40000,40000,38000,35000,42000,40000,40000,40000,40000,40000,40000,39000,39000,38000,38000,35000,35000,35000,35000,
Pasar Sederhana,Telur Ayam Ras,0,26000,24000,23000,25000,26000,26000,26000,26000,24000,24000,24000,23000,23000,23000,23000,25000,25000,25000,25000,
Pasar Sederhana,Daging Sapi,0,110000,110000,120000,120000,110000,110000,110000,110000,110000,110000,110000,110000,110000,120000,120000,120000,120000,120000,120000,
Pasar Sederhana,Minyak Goreng,0,14500,14500,14500,14500,14500,0,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,14500,
Pasar Sederhana,Gula Pasir,0,0,12500,12500,13500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,12500,13500,13500,
Pasar Sederhana,Kentang,0,14000,16000,16000,16000,14000,14000,14000,14000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,
Pasar Sederhana,Kedelai,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,12000,12000,12000,12000,0,12000,
Pasar Sederhana,Tepung Terigu,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,
Pasar Sederhana,Bawang Putih,0,24000,24000,32000,32000,24000,24000,24000,24000,24000,24000,24000,24000,24000,32000,32000,32000,32000,32000,32000,
