NO,NAMA,JABATAN,NOMOR SK,TANGGAL SK
1,JUANDA SURYA P.,KETUA RW.01,149/50-Tahun 2009,08-Des-09
2,SAEPUDIN,KETUA RT.01,149/Kep.10/Anwet/2009,08-Des-09
3,AMAS RUKMANA,KETUA RT.02,149/Kep.10/Anwet/2009,08-Des-09
4,NANO KARNO,KETUA RT.03,149/Kep.10/Anwet/2009,08-Des-09
5,AU WAHYU,KETUA RT.04,149/Kep.10/Anwet/2009,08-Des-09
6,WIRSAD,KETUA RT.05,149/Kep.10/Anwet/2009,08-Des-09
7,EEN SUHENDI,KETUA RT.06,149/Kep.10/Anwet/2009,08-Des-09
8,EDI MULYONO,KETUA RW.02,149/13-Tahun 2010 ,10-Feb-10
9,SUPROBO LESMONO,KETUA RT.01,149/Kep.003/Anwet/2010,10-Feb-10
10,"ASEP RUCHIAT, SE ",KETUA RT.02,149/Kep.003/Anwet/2010,10-Feb-10
11,SUMITRO,KETUA RT.03,149/Kep.003/Anwet/2010,10-Feb-10
12,MAHPUD,KETUA RT.04,149/Kep.003/Anwet/2010,10-Feb-10
13,KARNA SULAEMAN,KETUA RT.05,149/Kep.003/Anwet/2010,11-Feb-10
14,"H. SUYITNO,  MBA,  MM. ",KETUA RW. 03,149/Kep.09-Tahun 2009,16-Jun-09
15,ADE SOPYAN,KETUA RT.01,149/Kep.005/Anwet/2009,16-Jun-09
16,HELMI RAHMAN,KETUA RT.02,149/Kep.005/Anwet/2009,16-Jun-09
17,EMBUN SUBUR,KETUA RT.03,149/Kep.005/Anwet/2009,16-Jun-09
18,SANYOTO HADI P.,KETUA RT.04,149/Kep.005/Anwet/2009,16-Jun-09
19,ZUKIFLI,KETUA RT.05,149/Kep.005/Anwet/2009,16-Jun-09
20,ENDANG RAHMAN,KETUA RT.06,149/Kep.005/Anwet/2009,16-Jun-09
21,HARRY SUBAGIO,KETUA RW.04,149/01-Tahun 2010,09-Jan-10
22,RUDIE NURPENDIE,KETUA RT.01,149/Kep.001/Anwet/2010,09-Jan-10
23,YAYA SURJAMAN,KETUA RT.02,149/Kep.001/Anwet/2010,09-Jan-10
24,H. MARYUDI,KETUA RT.03,149/Kep.001/Anwet/2011,10-Jan-10
25,TOTO TOHA,KETUA RW.05,149/-Tahun 2015/Oktober  2015 / PAW,
26,HARRI MUHAMAD F.,KETUA RT.01,149/Kep.005/Anwet/2010,05-Mar-10
27,TINI RUSTINI,KETUA RT.02,149/Kep.005/Anwet/2010,05-Mar-10
28,TEDJO HAGONO,KETUA RT.03,149/Kep.005/Anwet/2010,05-Mar-10
29,Y A D I,KETUA RT.04,149/Kep.005/Anwet/2010,05-Mar-10
30,TUARSONO,KETUA RT.05,149/Kep.005/Anwet/2010,05-Mar-10
31,H. AHMAD SUBARDJAH,KETUA RW.06,149/22-Tahun 2009,11-Okt-09
32,Ir. PERMANA,KETUA RT.01,149/Kep.006/Anwet/2009,11-Okt-09
33,"ENGKUS KUSBINI,BSc.",KETUA RT.02,149/Kep.006/Anwet/2009,11-Okt-09
34,H.ISYA BUDIATMOKO,KETUA RT.03,149/Kep.006/Anwet/2009,11-Okt-09
35,"H.DENDI K.PRAWIRA,SH",KETUA RT.04,149/Kep.006/Anwet/2009,11-Okt-09
36,ANDRI KRISTIANDI,KETUA RT.05,149/Kep.006/Anwet/2009,11-Okt-09
37,H. ADE TRESNABUDI,KETUA RW.07,149/24-Tahun 2010,29-Mar-10
38,NANA OLAN,KETUA RT.01,149/Kep.006/Anwet/2010,29-Mar-10
39,TATA SUPRIATNA,KETUA RT.02,149/Kep.006/Anwet/2010,29-Mar-10
40,ROSIM,KETUA RT.03,149/Kep.006/Anwet/2010,29-Mar-10
41,ELAN SUHERLAN,KETUA RT.04,149/Kep.006/Anwet/2010,29-Mar-10
42,TARYANA,KETUA RT.05,149/Kep.006/Anwet/2010,29-Mar-10
43,WARSO BUDIANTO,KETUA RW.08,149/18-Tahun 2010,18-Feb-10
44,YANTI SUKMAYANTI,KETUA RT.01,149/04/Anwet/2010,18-Feb-10
45,"ERIK KUSWANDI, SE",KETUA RT.02,149/04/Anwet/2010,18-Feb-10
46,"IWAN DARMAWAN, ST",KETUA RT.03,149/04/Anwet/2010,18-Feb-10
47,YANTI NURMAYANTI ARIFIN,KETUA RT.04,149/04/Anwet/2010,18-Feb-10
48,SRI MARGIATI,KETUA RT.05,149/04/Anwet/2010,18-Feb-10
49,ALEX SOPIYAN,KETUA RT.06,149/04/Anwet/2010,18-Feb-10
50,IDID KUSNADI,KETUA RW.09,149/37-Tahun 2010,04-Jun-10
51,HARDIS,KETUA RT.01,149/007/Anwet/2010,04-Jun-10
52,SAMSUDIN,KETUA RT.02,149/007/Anwet/2010,04-Jun-10
53,ACHRI,KETUA RT.03,149/007/Anwet/2010,04-Jun-10
54,SONA MULIA EKA,KETUA RT.04,149/007/Anwet/2010,04-Jun-10
55,GINANJAR,KETUA RT.05,149/007/Anwet/2010,04-Jun-10
56,SARWAN WAHYUDI,KETUA RT.06,149/007/Anwet/2010,04-Jun-10
57,KASBI,KETUA RT.07,149/007/Anwet/2010,04-Jun-10
58,"H. OLIH, SPd, Msi",KETUA RW.10,149/02-Tahun 2010,21-Jan-10
59,DARYANI,KETUA RT.01,149/02/Anwet/2010,21-Jan-10
60,HUDARTO,KETUA RT.02,149/02/Anwet/2010,21-Jan-10
61,DADAN HADIANSYAH,KETUA RT.03,149/02/Anwet/2010,21-Jan-10
62,AGUS MAULANA,KETUA RT.04,149/02/Anwet/2010,21-Jan-10
63,DIMIN,KETUA RT.05,149/02/Anwet/2010,21-Jan-10
64,ASEP SARIPUDIN ,KETUA RT.06,149/02/Anwet/2010,21-Jan-10
65,"H.KUSWARA, SH, MH.",KETUA RW. 11,149/03-Tahun 2013,20-Jan-13
66,HARYANTO,KETUA RT.01,149/Kep.03/Anwet/2013,20-Jan-13
67,ALIZAR SULAIMAN,KETUA RT.02,149/Kep.03/Anwet/2013,20-Jan-13
68,NY. ZAHRATUL JANNAH,KETUA RT.03,149/Kep.03/Anwet/2013,20-Jan-13
69,TATING SETIAWAN,KETUA RT.04,149/Kep.03/Anwet/2013,20-Jan-13
