kecamatan,< 20,20 - 49,50 - 99,100 - 149,150+
Bandung Kulon,12.506,8.683,6.759,7.912,3.075
Babakan Ciparay,5.525,15.336,11.173,3.392,2.729
Bojongloa Kaler,2.288,20.318,5.541,1.243,330
Bojongloa Kidul,1.533,9.548,5.99,3.07,1.695
Astana Anyar,1.895,5.681,6.1,1.256,2.402
Regol,2.618,3.175,7.526,4.093,3.012
Lengkong,4.246,3.965,5.014,1.218,4.373
Bandung Kidul,1.146,5.526,4.859,1.404,2.608
Buah Batu,1.082,7.091,11.002,4.031,639
Rancasari,1.667,4.397,5.778,5.137,1.706
Gedebage,575,1.308,4.417,1.707,1.435
Cibiru,1.565,6.493,8.131,1.614,2.135
Panyileukan,1.407,1.723,4.223,2.075,1.036
Ujung Berung,1.172,5.838,8.603,2.491,797
Cinambo,1.49,1.026,2.088,1.062,1.05
Arcamanik,516,3.223,5.443,4.062,3.805
Antapani,3.926,3.539,7.852,821,2.054
Mandalajati,302,5.008,6.303,2.846,1.625
Kiara Condong,7.576,14.159,8.856,3.667,170
Batununggal,5.679,12.609,9.559,1.874,2.125
Sumur Bandung,3.428,2.975,1.764,715,78
Andir,3.669,8.199,8.798,2.761,2.095
Cicendo,4.34,9.837,7.952,1.148,1.711
Bandung Wetan,317,4.762,1.27,285,1.48
Cibeunying Kidul,5.088,11.299,7.279,2.775,1.973
Cibeunying Kaler,4.478,4.818,7.219,980,1.565
Coblong,20.97,7.889,12.621,1.856,4.491
Sukajadi,258,7.61,11.641,5.965,4.387
Sukasari,8.949,9.996,4.627,1.103,368
Cidadap,1.051,5.473,6.394,2.423,1.664
