lokasi,nama_komoditas,2016-10-01,2016-10-02,2016-10-03,2016-10-04,2016-10-05,2016-10-06,2016-10-07,2016-10-08,2016-10-09,2016-10-10,2016-10-11,2016-10-12,2016-10-13,2016-10-14,2016-10-15,2016-10-16,2016-10-17,2016-10-18,2016-10-19,2016-10-20,2016-10-21,2016-10-22,2016-10-23,2016-10-24,2016-10-25,2016-10-26,2016-10-27,2016-10-28,2016-10-29,2016-10-30,2016-10-31
"Pasar Kosambi","Beras Medium",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,10000,10000,0,10000,0,0,0,0
"Pasar Kosambi","Cabe Merah",0,0,50000,50000,50000,45000,45000,0,0,80000,80000,80000,80000,80000,0,0,80000,80000,80000,0,0,0,0,80000,80000,0,80000,0,0,0,0
"Pasar Kosambi","Bawang Merah",0,0,40000,0,40000,40000,40000,0,0,38000,38000,38000,38000,38000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,0,40000,0,0,0,0
"Pasar Kosambi","Daging Ayam Ras",0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,36000,36000,36000,36000,0,0,0,36000,34000,0,34000,0,0,0,0
"Pasar Kosambi","Telur Ayam Ras",0,0,19000,19000,0,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,19000,19000,19000,19000,0,0,0,19000,18500,0,18500,0,0,0,0
"Pasar Kosambi","Daging Sapi",0,0,0,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,0,0,0,120000,120000,0,120000,0,0,0,0
"Pasar Kosambi","Minyak Goreng",0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,15000,15000,15000,15000,0,0,0,15000,15000,0,15000,0,0,0,0
"Pasar Kosambi","Gula Pasir",0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,0,0,0,14000,14000,0,14000,0,0,0,0
"Pasar Kosambi",Kentang,0,0,18000,18000,18000,18000,18000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,0,0,0,16000,16000,0,16000,0,0,0,0
"Pasar Kosambi",Kedelai,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,0,0,0,11000,11000,0,11000,0,0,0,0
"Pasar Kosambi","Tepung Terigu",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,0,0,0,7500,7500,0,7500,0,0,0,0
"Pasar Kosambi","Bawang Putih",0,0,35000,35000,35000,0,35000,0,0,0,35000,0,35000,35000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,0,40000,0,0,0,0
"Pasar Kosambi","Cabe Keriting",0,0,50000,50000,50000,45000,45000,0,0,70000,70000,70000,70000,70000,0,0,60000,60000,60000,60000,0,0,0,60000,50000,0,50000,0,0,0,0
"Pasar Kosambi","Cabe Rawit",0,0,50000,50000,50000,45000,45000,0,0,35000,35000,35000,35000,35000,0,0,50000,50000,50000,50000,0,0,0,50000,50000,0,50000,0,0,0,0
"Pasar Kosambi","Kacang Tanah",0,0,30000,30000,30000,30000,30000,0,0,30000,0,30000,30000,30000,0,0,30000,30000,30000,30000,0,0,0,30000,30000,0,30000,0,0,0,0
"Pasar Kosambi","Ubi Kayu",0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4000,4000,0,0,0,4000,4000,0,4000,0,0,0,0
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi",Jagung,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,10000,0,0,10000,0,0,0,0
"Pasar Kosambi","Ikan Olahan",0,0,70000,70000,70000,70000,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,70000,70000,70000,0,0,0,70000,70000,0,70000,0,0,0,0
"Pasar Kosambi","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Minyak Goreng Curah",0,0,12500,12500,17500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,0,0,0,12500,12500,0,12500,0,0,0,0
"Pasar Kosambi","Daging Ayam Kampung",0,0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,0,0,0,75000,75000,0,75000,0,0,0,0
"Pasar Kosambi","Telur Ayam Kampung",0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,0,40000,0,0,0,0
"Pasar Kosambi","Susu Kental Manis Merk Bendera",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,10000,10000,0,10000,0,0,0,0
"Pasar Kosambi","Susu Kental Manis Merk Indomilk",0,0,9500,9500,9500,9500,0,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,0,0,0,9500,9500,0,9500,0,0,0,0
"Pasar Kosambi","Garam Beryodium Bata",0,0,1500,1500,1500,1500,1500,0,0,1500,1500,1500,1500,1500,0,0,1500,1500,1500,1500,0,0,0,1500,1500,0,1500,0,0,0,0
"Pasar Kosambi","Garam Beryodium Halus",0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,0,0,0,6000,6000,0,6000,0,0,0,0
"Pasar Kosambi","Tepung Terigu Cakra Kembar",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,0,0,0,7500,7500,0,7500,0,0,0,0
