NO,NAMA PERUSAHAAN,KELURAHAN,ALAMAT,JENIS USAHA,JML KARYAWAN ,THN BERDIRI 
1,TOKO ABC,KEBON JERUK,Jl. Dulatif No. 68,Jualan Kain,3 org,2011
2,TOKO MAJU JAYA,,Pasar Baru Lt.Dasar Blok E No. 9,Jualan Sepatu,2 org,2012
3,TOKO ARIES,,Pasar Baru Kios C-02,Jualan Boneka dan Taplak Meja,4 org,2013
4,TOKO RENGGANIS BATIK,,Pasar Baru ,Pakaian Jadi,2 org,2012
5,TOKO TRESNA,,Pasar Baru Blok C No. 72,Pakaian Jadi,2 org,2010
6,TOKO ALBEL JAYA,,Pasar Baru Blok F No. 68,Kerudung,2 org,2013
7,TOKO MAJU JAYA,,Pasar Baru Lt.III Blok P3 A No.3-5,Kain,2 org,2011
8,MIKHA COLLECTION,,Pasar Baru Lt.D1 Blok G No.11,Mukena,3 org,2009
9,TOKO ANUGERAH,,Jl. Mayor Sunarya No. 4,Kain,2 org,2008
10,TOKO HASIAN COLLECTION,,Pasar Baru Lt.I Blok E No.1,Pakaian Jadi,2 org,2007
11,BATIK AHMAD,,Pasar Baru Lt.I Blok A2 No.32-33,Jualan Batik,2 org,2010
12,FS. COMP,,Jl. Saritem No. 87,Spare part komp & Pakian,2 org,2011
13,TOKO AL- MADINAH,,Pasar Baru Lt.Dasar I Blok M No.16,Grosir &Eceran Pakian Muslim,2 org,2012
14,TOKO ABADI,,Jl. Kebon Jati No 2,Bahan Makanan,2 org,2008
15,TOKO ANEKA KUE,,Jl. Belakang Pasr No. 19,Jualan Kue,2 org,2013
16,ADB,,Jl. R. Adibrata No. 110,Jasa Tata Boga,2 org,2011
17,TOKO BATIK &TAS,,Pasar Baru Lt.Dasar 2 Blok D No.28,Jualan Batik & Tas,2 org,2008
18,M'G COLLECTION,,Pasar Baru Lt.V Blok C No.45,Pakaian Jadi,2 org,2011
19,TOKO PUTRI ASOKA,,Jl. Pasar Barat No. 3,Pakaian Jadi & Kain,2 org,2012
