no.,nama_posyandu,ketua_posyandu,alamat,kelurahan,strata_awal,strata_perubahan
1,MELATI I,NETI NATIJAH / SULIPAH,Jl, Nana Rohana Rt 04 , Rw 01 , WARMUN,warung_muncang,MADYA,PURNAMA
2,MELATI II,MUHIMAH /ANA ROHANA,JL. Holis RT 01, RW 01 Warung Muncang,warung_muncang,MADYA,
3,NUSA INDAH,SITI HARNASIH / SRI HIDAYATI,Jl. Suryani dalam III  No 122/83A  Rt 03 Rw 02,warung_muncang,MADYA,
4,Hapsari Melati I,R .YUSLIANI RATIH/MAMAH,Jl, Cibuntu Timur No 89/191C Rt 05 Rw 03,warung_muncang,MADYA,
5,Hapsari Melati II,KUSTATI /DEDEH HARTINI,Jl,Cibuntu Timur  Rt 05 Rw 04,warung_muncang,MADYA,
6,CITRA KARTINI,ENUNG /FARIDA,Jl.Cibuntu Timur Rt 01 Rw 05,warung_muncang,MADYA,PURNAMA
7,Kenanga I,NANI KARTINI &  MIMIN MINTARSIH,Jl, Cibuntu Sayuran  No 12 Rt 08 Rw 06,warung_muncang,MADYA,
8,Kenanga II,OTIN  ROHATINI / ROSILAWATI,Jl, Cibuntu Sayuran Rt 08 Rw 06,warung_muncang,MADYA,
9,Delima I,IMAS KOMARIAH/ OMAH,Jl, Cibuntu Selatan Rt 02 Rw 07,warung_muncang,MADYA,
10,Delima II,NURHASANI & YANTI WIDIYANTI,Jl. Cibuntu Selatan Rt 04 Rw 07,warung_muncang,MADYA,
11,Delima III,IMAS NURHAYATI / YUYU YETI ,Jl, Cibuntu Selatan Rt 09 Rw 07,warung_muncang,MADYA,
12,Tuliv,NYAI APONAH/ DEWI R,Jl. Cibuntu Tengah  Rt 02 RW 08,warung_muncang,MADYA,
13,Dahlia,Reni Trisandiani/ SUSU HERLINA,Jl,Cibuntu tengah  Rt 04  Rw 09 ,warung_muncang,MADYA,
14,Mawar I,IDA FARIDA /ERIN HANDAYANI,Jl. Cibuntu Tengah Rt 07 Rw 10,warung_muncang,MADYA,
15,Mawar II,ANI FITRIANI/ KOKOM KOMARIAH,Jl.HOLIS NO 67 RT 03  Rt 03 Rw ,warung_muncang,MADYA,
16,Alpi,AISAH,Jl. H. Alpi Rt 03 Rw 01  ,cibuntu,MADYA,PURNAMA
17,Burn,s,RIKA RAHMAWATI,Jl. Sukarno Hatta  Rt 04 Rw 02,cibuntu,MADYA,PURNAMA
18,Sejahtera I,WIDANINGSIH,Jl. Holis Gang Saleh Abas Rt 07 Rw 03,cibuntu,MADYA,
19,Sejahtera II,TUTI HERAWATI,Jl. Holis no36  Rt 09 Rw 03,cibuntu,MADYA,
20,Aster Putih I,TUTI KURNIASIH,Cibuntun Barat Rt 07 Rw 04,cibuntu,MADYA,
21,Aster Putih 2,MARIAM,Cibuntu Barat Rt 02 Rw   04 ,cibuntu,MADYA,
22,Mawar,NENI NURAENI,Jl, Cijerah Raya simpang BPTN Rt 04 Rw 05,cibuntu,MADYA,PURNAMA
23,Karya Mekar I,FATHONAH,Jl. H, Anwar no 55 Rt 02 Rw 06,cibuntu,MADYA,
24,Karya Mekar II,ENENG MUNAWAROH,Jl. Cijerah gang pesantern Rt 07 Rw 06,cibuntu,MADYA,
25,Bina Mulya,LILIS ETI,Jl. Jend Sudirman gg. Adil Rt 02 Rw 07,cibuntu,MADYA,
26,Puspa Dewi I,TJUTJU DJUNAENAH,Jl. H. Alpi no12 Rt 07 Rw 08,cibuntu,MADYA,
27,Puspa Dewi II,SITI KHODIJAH,Jl. H. Anwar Rt 03 Rw 08,cibuntu,MADYA,PURNAMA
28,Puspa Dewi III,HILDA ARYANI,Jl. H. Anwar gg, H. Pakih Rt 01 Rw08,cibuntu,MADYA,
29,Dahlia,IMAS HARTATI,Jl. Holis gg. Cibuntu Barat Rt 05 Rw 09,cibuntu,MADYA,
30,Mawar Mekar,KASYANI,JL. Bojong sari rt 03rw 10,cibuntu,MADYA,PURNAMA
31,Mekar Lestari I,MARDIAH,Cibuntu Barat Rt 02 Rw 01,caringin,MADYA,
32,Mekar Lestari II,LILIS SUSANTI,CibuntuBarat Rt 06 Rw 01,caringin,MADYA,
33,Mekar Lestari III,RINA NURYANTINI,Cibuntu  Barat Rt  05 Rw 01,caringin,MADYA,
34,Jelita,EVI IMAS SUPIATI,Cibuntu Barat Rt 03 Rw 02,caringin,MADYA,PURNAMA
35,Bahagia,SITI ROMLAH,Jl,HolisCaringin Rt 03 Rw 03,caringin,MADYA,
36,Sejahtera ,NURYATIN,Jl. Holis Permai R T 05 Rw 04,caringin,MADYA,PURNAMA
37,Anggun,EKA KARTIKAWATI,Jl. Alwa Rt 05 Rw 05,caringin,MADYA,PURNAMA
38,TERATAI,ERI KAERINA,Gang. Manunggal IIC  Rt 10 Rw 01,cijerah,MADYA,PURNAMA
39,DAHLIA,MARNI SUMARNI,Jl, Cijerah gg. Pelita Rt 06 Rw 02,cijerah,MADYA,PURNAMA
40,FLAMBOYAN,RINY NURAENI,Jl. Melong Cijerah V Rt 03 Rw 03,cijerah,MADYA,
41,HARAPAN MEKAR I,YUYUN YUNIARTI,Jl.Cijerah gg. Maemunah Rt 01 Rw 04,cijerah,MADYA,
42,HARAPANMEKAR II,LILIS,Jl.Cijerah gg.Mekar Sari I Rt 07 Rw 04,cijerah,MADYA,
43,MAYANG ARUM,ROHAETI,Perum Cijerah I Rt 04 Rw 05,cijerah,MADYA,
44,ANGGREK,ILA HARYATI,Jl. Jend Sudirman gg.mama oto Rt 06 Rw 06,cijerah,MADYA,PURNAMA
45,CEMPAKA I ,NURHASANAH,Kmap, Sayuran Rt 03 Rw 07 ,cijerah,MADYA,
46,KUNTUM MEKAR,HARJATI,Jl. Mekar Indah  no 4 Rt 04 Rw 08,cijerah,MADYA,
47,MELATI I,ADE YUNINGSIH,Jl. Melong Asih gg.Manunggal IIC Rt 07 Rw 09,cijerah,MADYA,
48,MELATI II,UNISAH,Jl. Melong Asih gg.Manunggal IIC Rt 01 Rw 09,cijerah,MADYA,PURNAMA
49,Cempaka II,ADE NURYATI,Jl. Manunggal IIC Rt 06 Rw 10,cijerah,MADYA,
50,MAWAR SARI I POS A,Titin Suhartini,Jl. Gempol sari Rt 04 Rw 01,gempolsari,MADYA,
51,Mawar Sari I POS B,SITI NURYANTI,Jl. Gempol sari Rt 02 Rw 01,gempolsari,MADYA,
52,MAWAR SARI II,ANI YULIANI,Blok 22 gg. Sayuran 2 Rt 02 Rw 02,gempolsari,MADYA,PURNAMA
53,MAWAR SARI III,YAYAH ROKAYAH,Resmi Asih Rt 03 Rw 03,gempolsari,MADYA,PURNAMA
54,MAWAR SARI IV A,YETI RUKMIATI,Jl.Wijaya Kusuma Rt 03 Rw 04,gempolsari,MADYA,
55,MAWAR SARI IV B,ERINA SARATI,Jl. Mirabilis Rt 05 Rw 04,gempolsari,MADYA,
56,MAWAR SARI V ,ELVI  FARIDA ,Jl. Bumi Asri Rt 06 Rw 06,gempolsari,MADYA,PURNAMA
57,MAWAR SARI  VI A,NURHAYATI,Jl. Rengas Rt 03 Rw 06,gempolsari,MADYA,PURNAMA
58,MAWAR SARI VI B,LILIS SURYANI,Jl. Rengas Rt05 Rw 06,gempolsari,MADYA,PURNAMA
59,MAWAR SARI VII,ROMLAH /IIM,Rw 07,gempolsari,MADYA,PURNAMA
60,MAWAR SARI VIII,SRI WIYATI ENI,Jl. Bumi Asri  Rt 01 Rw 08,gempolsari,MADYA,PURNAMA
61,MAWAR SARI  IX,SRI SUHARYATI ,Jl. Jati  Rt 07 Rw 09,gempolsari,MADYA,PURNAMA
62,Mawar Sari X,YULIANA URAY LAING,Jl. Reungas RW 10,gempolsari,MADYA,
63,Mawar I,MIEN R PERMANA,Jl. Batu Rengat Rt 04 Rw 01,cigondewah_kaler,MADYA,
64,Mawar 2,YANI MUTIARAWATI,Jl. Batu Rengat Rt 01 Rw 01,cigondewah_kaler,MADYA,
65,ANYELIR I,AAH MARFUAH,Cingondewah kaler Rt 02 Rw 02,cigondewah_kaler,MADYA,
66,ANYELIR  2,EUIS MAESAROH,Cigondewah kaler Rt 04 Rw 02,cigondewah_kaler,MADYA,
67,DAHLIA,YAYAH KOMARIAH,Cigondewah Kaler Rt 01  Rw 03,cigondewah_kaler,MADYA,
68,SEROJA I,YUYUN YUNENGSIH,Jl. Batas Cigondewah  Rt 02 Rw 04,cigondewah_kaler,MADYA,
69,SEROJA  2,KOMARIAH,Jl. Paralon I Rt 03 Rw 04,cigondewah_kaler,MADYA,
70,KAMBOJA,EMA SITI SAEMA,Cigondewah kaler Rt 01  Rw05,cigondewah_kaler,MADYA,
71,CEMPAKA,SOLIHAH,Cigondewah kaler Rt 01  Rw06,cigondewah_kaler,MADYA,
72,ANGGREK,WIDIHARNINGSIH,Cigondewah kaler Rt 02  Rw 07,cigondewah_kaler,MADYA,
73,FLAMBOYAN I,NENENG SITI ROMLAH,Cigondewah kaler Rt 01  Rw 08,cigondewah_kaler,MADYA,
74,FLAMBOYAN  II,UMIYATI,Cigondewah kaler Rt 02  Rw 08,cigondewah_kaler,MADYA,
75,BOUGENVILLE,YULI,Cigondewah kaler Rt 03  Rw 09,cigondewah_kaler,MADYA,
76,ROSE,S ITI MUUNAWAROH,Cigondewah kaler Rt 01 Rw 10,cigondewah_kaler,MADYA,
77,TERATAI 1,IMAS ENDAH SETIAWATI,Cigondewah kaler Rt 01 Rw 11,cigondewah_kaler,MADYA,
78,TERATAI  2,KHOERUDIN,Cigondewah kaler Rt 02 Rw 11,cigondewah_kaler,MADYA,
79,KENANGA,UUN MULIDAH,Cigondewah kaler Rt 03 Rw  12,cigondewah_kaler,MADYA,
80,NUSA INDAH I,AWANG NAWANGSIH,Cigondewah kaler Rt 01 Rw 13,cigondewah_kaler,MADYA,
81,NUSA INDAH II,SOPIATI,Cigondewah kaler Rt 01 Rw 13,cigondewah_kaler,MADYA,
82,NUSA INDAH  3,ROLIAH,Cigondewah kaler Rt 02Rw 13,cigondewah_kaler,MADYA,
83,Flamboyan,WILLY KUSMAYATI,Jl.Cibolerang Barat Rt 01 Rw01,cigondewah_rahayu,MADYA,
84,Melati,ENTIN KARTINI,kp. Ciherang  Rt 02 Rw 02,cigondewah_rahayu,MADYA,
85,Tanjung,TITIN SOEHARTINI,Kp. Sumur Sari Rt 02 Rw 02,cigondewah_rahayu,MADYA,
86,Bougenvile,IIM ROHIMAH,KP,lebak sari rt 01 rw 04 Cigondewah rahayu,cigondewah_rahayu,MADYA,
87,Cempaka,EEN SAENAH,rt 02 rw 05 . Dkt masjid ARROHMAN ,cigondewah_rahayu,MADYA,
88,Dahlia,ANI WARSINI,Kp. Mahkelung Rt 03 Rw 06,cigondewah_rahayu,MADYA,
89,Merah Delima I,AI SUKANAH,Rt 02 Rw 02,cigondewah_kidul,MADYA,
90,MerahDelima II,AI SAODAH,Rt 02 Rw 01,cigondewah_kidul,MADYA,
91,Melati,ANI MARYANI,Rt 02 Rw 02,cigondewah_kidul,MADYA,
92,Mawar I,ANI ,Rt 003 Rw 03,cigondewah_kidul,MADYA,
93,Anggrek,AI HETI NURHAETI,Rt 03 Rw 04,cigondewah_kidul,MADYA,
94,Mawar II,AAT SUMARNI,Rt 01 Rw 05,cigondewah_kidul,MADYA,
